Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
Y1,8MHz,Top,XTAL_3225,-2.25,8,180,Crystal SMD 24MHz 10PPM 7pF 3225
U3,STM32F030F4P6TR,Top,STM-TSSOP20_M,0,0,270,"ARM Cortex-M0 32-bit MCU, 16 KB Flash, 4 KB Internal RAM, 15 I/Os, 20-Pin TSSOP, -40 to 85 degC, Tape and Reel"
U2,TP6841S6,Top,SOT-23-6,23.5,17.5,180,40V 0.8A 800kHz Synchronous Step-Down Converter
U1,TP6841S6,Top,SOT-23-6,-18.75,19.85,180,40V 0.8A 800kHz Synchronous Step-Down Converter
R22,1M,Top,RES_0603,8.5,28.75,90,Resistor SMD 0603
R21,1k,Top,RES_0603,33.75,3,90,Resistor SMD 0603
R20,1k,Top,RES_0603,33.75,-15.75,90,Resistor SMD 0603
R19,1k,Top,RES_0603,33.75,-5,90,Resistor SMD 0603
R18,49R9,Top,RES_0603,9.75,-1.25,0,Resistor SMD 0603
R17,1k,Top,RES_0603,33.75,-8.25,90,Resistor SMD 0603
R16,49R9,Top,RES_0603,7.5,-5.5,270,Resistor SMD 0603
R15,1k,Top,RES_0603,33.75,-12,90,Resistor SMD 0603
R14,49R9,Top,RES_0603,5.5,-5.5,270,Resistor SMD 0603
R13,1k,Top,RES_0603,-33.75,-15.75,90,Resistor SMD 0603
R12,1k,Top,RES_0603,-33.75,-12,90,Resistor SMD 0603
R11,1k,Top,RES_0603,-33.75,-8.25,90,Resistor SMD 0603
R10,1k,Top,RES_0603,-33.75,-5,90,Resistor SMD 0603
R9,1k,Top,RES_0603,-33.75,3,90,Resistor SMD 0603
R8,1k,Top,RES_0603,2.5,-6.75,0,Resistor SMD 0603
R7,24k,Top,RES_0603,18,17.75,90,Resistor SMD 0603
R6,75k,Top,RES_0603,18,20.75,270,Resistor SMD 0603
R5,10k,Top,RES_0603,24.75,14.5,90,Resistor SMD 0603
R4,1k,Top,RES_0603,-2,13.75,90,Resistor SMD 0603
R3,24k,Top,RES_0603,-20,17.1,0,Resistor SMD 0603
R2,75k,Top,RES_0603,-20,15.6,0,Resistor SMD 0603
R1,10k,Top,RES_0603,-20,14.1,0,Resistor SMD 0603
L4,220n,Top,IND_0603,-1,-6.75,0,Inductor SMD 0603
L3,220n,Top,IND_0603,-1,-9.75,180,Inductor SMD 0603
L2,47u,Top,MWSA0603S,23.5,24.75,180,Power Inductor SMD Sunlord MWSA0603S
L1,47u,Top,MWSA0603S,-20,26.85,180,Power Inductor SMD Sunlord MWSA0603S
J1,473460001,Top,FP-473460001-MFG,0,30.02,180,CONN RCPT USB2.0 MICRO B SMD R/A
FB1,120R,Top,FB_0603,0,24.5,180,Ferrite Bead SMD 0603
EM1,NFL18ST507X1C3D,Top,FP-NFL18ST-MFG,13.75,3.75,0,LC combined filters 25pF 110nH 200MHz 16Vdc 150mA 0603
D2,GREEN,Top,LED_0402_GREEN,2.5,-4.75,0,LED 0402 GREEN SMD
D1,GREEN,Top,LED_0402_GREEN,-2,16.5,270,LED 0402 GREEN SMD
C19,4n7,Top,CAP_0603,6.75,28.75,90,Capacitor SMD 0603 50V
C18,330p,Top,CAP_0603,-1,-8.25,180,Capacitor SMD 0603 50V
C17,330p,Top,CAP_0603,9.75,-2.75,0,Capacitor SMD 0603 50V
C16,33p,Top,CAP_0603,9,-5.5,270,Capacitor SMD 0603 50V
C15,10p,Top,CAP_0603,-4,5.25,180,Capacitor SMD 0603 50V
C14,10p,Top,CAP_0603,-0.5,5.25,0,Capacitor SMD 0603 50V
C13,100n,Top,CAP_0603,5.5,0,90,Capacitor SMD 0603 50V
C12,100n,Top,CAP_0603,-5.5,1.5,270,Capacitor SMD 0603 50V
C11,100n,Top,CAP_0603,7.25,11.5,0,Capacitor SMD 0603 50V
C10,22u,Top,CAP_1210,16.5,28.25,0,Capacitor SMD 1210 10V
C9,22u,Top,CAP_1210,16.5,24.5,0,Capacitor SMD 1210 10V
C8,100n,Top,CAP_0603,23,20.5,180,Capacitor SMD 0603 50V
C7,22u,Top,CAP_1210,28.5,17.5,180,Capacitor SMD 1210 10V
C6,22u,Top,CAP_1210,-26.75,20.85,90,Capacitor SMD 1210 10V
C5,22u,Top,CAP_1210,-23.25,20.85,90,Capacitor SMD 1210 10V
C4,100n,Top,CAP_0603,-18.75,22.6,180,Capacitor SMD 0603 50V
C3,22u,Top,CAP_1210,-14.5,18.35,90,Capacitor SMD 1210 10V
C2,100n,Top,CAP_0603,-1,22.25,90,Capacitor SMD 0603 50V
C1,100n,Top,CAP_0603,1,22.25,90,Capacitor SMD 0603 50V
